,W,L,W/L%,GB,PS/G,PA/G,SRS,year,Team
358,36,46,0.439,23.0,104.0,105.4,-1.87,2008,Indiana Pacers
359,33,49,0.402,26.0,97.3,100.4,-3.19,2008,Chicago Bulls
360,26,56,0.317,33.0,97.0,103.9,-6.92,2008,Milwaukee Bucks
361,52,30,0.634,—,104.5,99.0,4.79,2008,Orlando Magic
362,43,39,0.524,9.0,98.8,99.2,-0.61,2008,Washington Wizards
363,37,45,0.451,15.0,98.2,100.0,-2.23,2008,Atlanta Hawks
364,32,50,0.39,20.0,97.1,101.4,-4.49,2008,Charlotte Bobcats
365,15,67,0.183,37.0,91.4,100.0,-8.53,2008,Miami Heat
366,54,28,0.659,—,106.2,99.3,6.86,2008,Utah Jazz
367,50,32,0.61,4.0,110.7,107.0,3.74,2008,Denver Nuggets
368,41,41,0.5,13.0,95.4,96.3,-0.52,2008,Portland Trail Blazers
369,22,60,0.268,32.0,95.6,102.4,-6.26,2008,Minnesota Timberwolves
370,20,62,0.244,34.0,97.5,106.3,-8.04,2008,Seattle SuperSonics
371,57,25,0.695,—,108.6,101.3,7.34,2008,Los Angeles Lakers
372,55,27,0.671,2.0,110.1,105.0,5.14,2008,Phoenix Suns
373,48,34,0.585,9.0,111.0,108.8,2.38,2008,Golden State Warriors
374,38,44,0.463,19.0,102.5,104.8,-1.86,2008,Sacramento Kings
375,23,59,0.28,34.0,93.8,101.1,-6.56,2008,Los Angeles Clippers
376,56,26,0.683,—,100.9,95.6,5.46,2008,New Orleans Hornets
377,56,26,0.683,—,95.4,90.6,5.1,2008,San Antonio Spurs
378,55,27,0.671,1.0,96.7,92.0,4.83,2008,Houston Rockets
379,51,31,0.622,5.0,100.4,95.9,4.7,2008,Dallas Mavericks
380,22,60,0.268,34.0,100.7,106.9,-5.76,2008,Memphis Grizzlies
381,62,20,0.756,—,100.9,93.4,7.44,2009,Boston Celtics
382,41,41,0.5,21.0,97.4,97.3,0.16,2009,Philadelphia 76ers
383,34,48,0.415,28.0,98.1,100.5,-2.31,2009,New Jersey Nets
384,33,49,0.402,29.0,99.0,101.9,-2.54,2009,Toronto Raptors
385,32,50,0.39,30.0,105.2,107.8,-2.33,2009,New York Knicks
386,66,16,0.805,—,100.3,91.4,8.68,2009,Cleveland Cavaliers
387,41,41,0.5,25.0,102.2,102.5,-0.16,2009,Chicago Bulls
388,39,43,0.476,27.0,94.2,94.7,-0.36,2009,Detroit Pistons
389,36,46,0.439,30.0,105.1,106.2,-0.76,2009,Indiana Pacers
390,34,48,0.415,32.0,99.3,100.4,-0.88,2009,Milwaukee Bucks
391,59,23,0.72,—,101.0,94.4,6.48,2009,Orlando Magic
392,47,35,0.573,12.0,98.1,96.5,1.7,2009,Atlanta Hawks
393,43,39,0.524,16.0,98.3,98.0,0.49,2009,Miami Heat
394,35,47,0.427,24.0,93.6,94.9,-1.2,2009,Charlotte Bobcats
395,19,63,0.232,40.0,96.1,103.5,-6.98,2009,Washington Wizards
396,54,28,0.659,—,104.3,100.9,3.13,2009,Denver Nuggets
397,54,28,0.659,—,99.4,94.1,5.0,2009,Portland Trail Blazers
398,48,34,0.585,6.0,103.6,100.9,2.31,2009,Utah Jazz
399,24,58,0.293,30.0,97.8,102.7,-4.74,2009,Minnesota Timberwolves
400,23,59,0.28,31.0,97.0,103.1,-6.04,2009,Oklahoma City Thunder
401,65,17,0.793,—,106.9,99.3,7.11,2009,Los Angeles Lakers
402,46,36,0.561,19.0,109.4,107.5,1.62,2009,Phoenix Suns
403,29,53,0.354,36.0,108.6,112.3,-3.8,2009,Golden State Warriors
404,19,63,0.232,46.0,95.1,103.9,-8.47,2009,Los Angeles Clippers
405,17,65,0.207,48.0,100.6,109.3,-8.6,2009,Sacramento Kings
406,54,28,0.659,—,97.0,93.3,3.36,2009,San Antonio Spurs
407,53,29,0.646,1.0,98.4,94.4,3.73,2009,Houston Rockets
408,50,32,0.61,4.0,101.7,99.8,1.68,2009,Dallas Mavericks
409,49,33,0.598,5.0,95.8,94.3,1.41,2009,New Orleans Hornets
410,24,58,0.293,30.0,93.9,99.3,-5.23,2009,Memphis Grizzlies
411,50,32,0.61,—,99.2,95.6,3.37,2010,Boston Celtics
412,40,42,0.488,10.0,104.1,105.9,-1.83,2010,Toronto Raptors
413,29,53,0.354,21.0,102.1,105.9,-4.01,2010,New York Knicks
414,27,55,0.329,23.0,97.7,101.6,-3.93,2010,Philadelphia 76ers
415,12,70,0.146,38.0,92.4,101.5,-8.93,2010,New Jersey Nets
416,61,21,0.744,—,102.1,95.6,6.17,2010,Cleveland Cavaliers
417,46,36,0.561,15.0,97.7,96.0,1.37,2010,Milwaukee Bucks
418,41,41,0.5,20.0,97.5,99.1,-1.64,2010,Chicago Bulls
419,32,50,0.39,29.0,100.8,103.8,-3.11,2010,Indiana Pacers
420,27,55,0.329,34.0,94.0,99.1,-5.02,2010,Detroit Pistons
421,59,23,0.72,—,102.8,95.3,7.12,2010,Orlando Magic
422,53,29,0.646,6.0,101.7,97.0,4.44,2010,Atlanta Hawks
423,47,35,0.573,12.0,96.5,94.2,1.99,2010,Miami Heat
424,44,38,0.537,15.0,95.3,93.8,1.3,2010,Charlotte Bobcats
425,26,56,0.317,33.0,96.2,101.0,-4.72,2010,Washington Wizards
426,53,29,0.646,—,106.5,102.4,4.15,2010,Denver Nuggets
427,53,29,0.646,—,104.2,98.9,5.33,2010,Utah Jazz
428,50,32,0.61,3.0,98.1,94.8,3.18,2010,Portland Trail Blazers
429,50,32,0.61,3.0,101.5,98.0,3.55,2010,Oklahoma City Thunder
430,15,67,0.183,38.0,98.2,107.8,-9.06,2010,Minnesota Timberwolves
431,57,25,0.695,—,101.7,97.0,4.78,2010,Los Angeles Lakers
432,54,28,0.659,3.0,110.2,105.3,4.67,2010,Phoenix Suns
433,29,53,0.354,28.0,95.7,102.1,-6.01,2010,Los Angeles Clippers
434,26,56,0.317,31.0,108.8,112.4,-3.28,2010,Golden State Warriors
435,25,57,0.305,32.0,100.0,104.4,-4.06,2010,Sacramento Kings
436,55,27,0.671,—,102.0,99.3,2.66,2010,Dallas Mavericks
437,50,32,0.61,5.0,101.4,96.3,5.07,2010,San Antonio Spurs
438,42,40,0.512,13.0,102.4,102.7,-0.02,2010,Houston Rockets
439,40,42,0.488,15.0,102.5,104.0,-1.39,2010,Memphis Grizzlies
440,37,45,0.451,18.0,100.2,102.7,-2.27,2010,New Orleans Hornets
441,56,26,0.683,—,96.5,91.1,4.83,2011,Boston Celtics
442,42,40,0.512,14.0,106.5,105.7,0.48,2011,New York Knicks
443,41,41,0.5,15.0,99.0,97.5,1.01,2011,Philadelphia 76ers
444,24,58,0.293,32.0,94.2,100.4,-6.28,2011,New Jersey Nets
445,22,60,0.268,34.0,99.1,105.4,-6.28,2011,Toronto Raptors
446,62,20,0.756,—,98.6,91.3,6.53,2011,Chicago Bulls
447,37,45,0.451,25.0,99.8,100.9,-1.38,2011,Indiana Pacers
448,35,47,0.427,27.0,91.9,92.7,-1.02,2011,Milwaukee Bucks
449,30,52,0.366,32.0,97.0,100.6,-3.78,2011,Detroit Pistons
450,19,63,0.232,43.0,95.5,104.5,-8.88,2011,Cleveland Cavaliers
451,58,24,0.707,—,102.1,94.6,6.76,2011,Miami Heat
452,52,30,0.634,6.0,99.2,93.7,4.92,2011,Orlando Magic
453,44,38,0.537,14.0,95.0,95.8,-1.1,2011,Atlanta Hawks
454,34,48,0.415,24.0,93.3,97.3,-4.08,2011,Charlotte Bobcats
455,23,59,0.28,35.0,97.3,104.7,-7.3,2011,Washington Wizards
456,55,27,0.671,—,104.8,101.0,3.81,2011,Oklahoma City Thunder
457,50,32,0.61,5.0,107.5,102.7,4.81,2011,Denver Nuggets
458,48,34,0.585,7.0,96.3,94.8,1.85,2011,Portland Trail Blazers
459,39,43,0.476,16.0,99.4,101.3,-1.44,2011,Utah Jazz
460,17,65,0.207,38.0,101.1,107.7,-5.97,2011,Minnesota Timberwolves
461,57,25,0.695,—,101.5,95.4,6.01,2011,Los Angeles Lakers
462,40,42,0.488,17.0,105.0,105.9,-0.46,2011,Phoenix Suns
463,36,46,0.439,21.0,103.4,105.7,-2.0,2011,Golden State Warriors
464,32,50,0.39,25.0,98.6,101.8,-2.71,2011,Los Angeles Clippers
465,24,58,0.293,33.0,99.4,104.7,-4.8,2011,Sacramento Kings
466,61,21,0.744,—,103.7,98.0,5.86,2011,San Antonio Spurs
467,57,25,0.695,4.0,100.2,96.0,4.41,2011,Dallas Mavericks
468,46,36,0.561,15.0,94.9,94.0,1.28,2011,New Orleans Hornets
469,46,36,0.561,15.0,99.9,97.6,2.55,2011,Memphis Grizzlies
470,43,39,0.524,18.0,105.9,103.7,2.37,2011,Houston Rockets
471,39,27,0.591,—,91.8,89.3,2.26,2012,Boston Celtics
472,36,30,0.545,3.0,97.8,94.7,2.39,2012,New York Knicks
473,35,31,0.53,4.0,93.6,89.4,3.59,2012,Philadelphia 76ers
474,23,43,0.348,16.0,90.7,94.0,-3.67,2012,Toronto Raptors
475,22,44,0.333,17.0,93.1,99.1,-6.37,2012,New Jersey Nets
476,50,16,0.758,—,96.3,88.2,7.43,2012,Chicago Bulls
477,42,24,0.636,8.0,97.7,94.4,2.6,2012,Indiana Pacers
478,31,35,0.47,19.0,99.0,98.7,-0.23,2012,Milwaukee Bucks
479,25,41,0.379,25.0,90.9,95.7,-5.19,2012,Detroit Pistons
480,21,45,0.318,29.0,93.0,100.2,-7.34,2012,Cleveland Cavaliers
481,46,20,0.697,—,98.5,92.5,5.72,2012,Miami Heat
482,40,26,0.606,6.0,96.6,93.2,2.67,2012,Atlanta Hawks
483,37,29,0.561,9.0,94.2,93.4,0.46,2012,Orlando Magic
484,20,46,0.303,26.0,93.6,98.4,-5.14,2012,Washington Wizards
485,7,59,0.106,39.0,87.0,100.9,-13.96,2012,Charlotte Bobcats
486,47,19,0.712,—,103.1,96.9,6.44,2012,Oklahoma City Thunder
487,38,28,0.576,9.0,104.1,101.2,3.16,2012,Denver Nuggets
488,36,30,0.545,11.0,99.7,99.0,0.92,2012,Utah Jazz
489,28,38,0.424,19.0,97.2,97.8,-0.22,2012,Portland Trail Blazers
490,26,40,0.394,21.0,97.9,100.1,-1.83,2012,Minnesota Timberwolves
491,41,25,0.621,—,97.3,95.9,1.96,2012,Los Angeles Lakers
492,40,26,0.606,1.0,97.5,95.0,2.82,2012,Los Angeles Clippers
493,33,33,0.5,8.0,98.4,98.6,0.29,2012,Phoenix Suns
494,23,43,0.348,18.0,97.8,101.2,-2.79,2012,Golden State Warriors
495,22,44,0.333,19.0,98.8,104.4,-4.95,2012,Sacramento Kings
496,50,16,0.758,—,103.7,96.5,7.28,2012,San Antonio Spurs
497,41,25,0.621,9.0,95.0,93.0,2.43,2012,Memphis Grizzlies
498,36,30,0.545,14.0,95.8,94.8,1.78,2012,Dallas Mavericks
499,34,32,0.515,16.0,98.1,97.9,0.57,2012,Houston Rockets
500,21,45,0.318,29.0,89.6,93.4,-3.11,2012,New Orleans Hornets
501,54,28,0.659,—,100.0,95.7,3.73,2013,New York Knicks
502,49,33,0.598,5.0,96.9,95.1,1.25,2013,Brooklyn Nets
503,41,40,0.506,12.5,96.5,96.7,-0.62,2013,Boston Celtics
504,34,48,0.415,20.0,93.2,96.5,-3.51,2013,Philadelphia 76ers
505,34,48,0.415,20.0,97.2,98.7,-1.96,2013,Toronto Raptors
506,49,32,0.605,—,94.7,90.7,3.34,2013,Indiana Pacers
507,45,37,0.549,4.5,93.2,92.9,-0.02,2013,Chicago Bulls
508,38,44,0.463,11.5,98.9,100.4,-1.83,2013,Milwaukee Bucks
509,29,53,0.354,20.5,94.9,98.8,-4.33,2013,Detroit Pistons
510,24,58,0.293,25.5,96.5,101.2,-4.87,2013,Cleveland Cavaliers
511,66,16,0.805,—,102.9,95.0,7.03,2013,Miami Heat
512,44,38,0.537,22.0,98.0,97.5,-0.08,2013,Atlanta Hawks
513,29,53,0.354,37.0,93.2,95.8,-2.78,2013,Washington Wizards
514,21,61,0.256,45.0,93.4,102.7,-9.29,2013,Charlotte Bobcats
515,20,62,0.244,46.0,94.1,101.1,-7.12,2013,Orlando Magic
516,60,22,0.732,—,105.7,96.5,9.15,2013,Oklahoma City Thunder
517,57,25,0.695,3.0,106.1,101.1,5.37,2013,Denver Nuggets
518,43,39,0.524,17.0,98.0,98.1,0.3,2013,Utah Jazz
519,33,49,0.402,27.0,97.5,100.7,-2.53,2013,Portland Trail Blazers
520,31,51,0.378,29.0,95.7,98.1,-1.83,2013,Minnesota Timberwolves
521,56,26,0.683,—,101.1,94.6,6.43,2013,Los Angeles Clippers
522,47,35,0.573,9.0,101.2,100.3,1.32,2013,Golden State Warriors
523,45,37,0.549,11.0,102.2,101.0,1.48,2013,Los Angeles Lakers
524,28,54,0.341,28.0,100.2,105.1,-4.26,2013,Sacramento Kings
525,25,57,0.305,31.0,95.2,101.6,-5.75,2013,Phoenix Suns
526,58,24,0.707,—,103.0,96.6,6.67,2013,San Antonio Spurs
527,56,26,0.683,2.0,93.4,89.3,4.32,2013,Memphis Grizzlies
528,45,37,0.549,13.0,106.0,102.5,3.69,2013,Houston Rockets
529,41,41,0.5,17.0,101.1,101.7,-0.24,2013,Dallas Mavericks
530,27,55,0.329,31.0,94.1,97.9,-3.12,2013,New Orleans Hornets
531,48,34,0.585,—,101.3,98.0,2.55,2014,Toronto Raptors
532,44,38,0.537,4.0,98.5,99.5,-1.58,2014,Brooklyn Nets
533,37,45,0.451,11.0,98.6,99.4,-1.4,2014,New York Knicks
534,25,57,0.305,23.0,96.2,100.7,-4.97,2014,Boston Celtics
535,19,63,0.232,29.0,99.5,109.9,-10.66,2014,Philadelphia 76ers
536,56,26,0.683,—,96.7,92.3,3.63,2014,Indiana Pacers
537,48,34,0.585,8.0,93.7,91.8,1.2,2014,Chicago Bulls
538,33,49,0.402,23.0,98.2,101.5,-3.86,2014,Cleveland Cavaliers
539,29,53,0.354,27.0,101.0,104.7,-4.13,2014,Detroit Pistons
540,15,67,0.183,41.0,95.5,103.7,-8.41,2014,Milwaukee Bucks
541,54,28,0.659,—,102.2,97.4,4.15,2014,Miami Heat
542,44,38,0.537,10.0,100.7,99.4,0.48,2014,Washington Wizards
543,43,39,0.524,11.0,96.9,97.1,-0.89,2014,Charlotte Bobcats
544,38,44,0.463,16.0,101.0,101.5,-0.88,2014,Atlanta Hawks
545,23,59,0.28,31.0,96.5,102.0,-5.88,2014,Orlando Magic
546,59,23,0.72,—,106.2,99.8,6.66,2014,Oklahoma City Thunder
547,54,28,0.659,5.0,106.7,102.8,4.44,2014,Portland Trail Blazers
548,40,42,0.488,19.0,106.9,104.3,3.1,2014,Minnesota Timberwolves
549,36,46,0.439,23.0,104.4,106.5,-1.4,2014,Denver Nuggets
550,25,57,0.305,34.0,95.0,102.2,-6.27,2014,Utah Jazz
551,57,25,0.695,—,107.9,101.0,7.27,2014,Los Angeles Clippers
552,51,31,0.622,6.0,104.3,99.5,5.15,2014,Golden State Warriors
553,48,34,0.585,9.0,105.2,102.6,3.02,2014,Phoenix Suns
554,28,54,0.341,29.0,100.5,103.4,-2.08,2014,Sacramento Kings
555,27,55,0.329,30.0,103.0,109.2,-5.33,2014,Los Angeles Lakers
556,62,20,0.756,—,105.4,97.6,8.0,2014,San Antonio Spurs
557,54,28,0.659,8.0,107.7,103.1,5.06,2014,Houston Rockets
558,50,32,0.61,12.0,96.1,94.6,2.18,2014,Memphis Grizzlies
559,49,33,0.598,13.0,104.8,102.4,2.91,2014,Dallas Mavericks
560,34,48,0.415,28.0,99.7,102.4,-1.98,2014,New Orleans Pelicans
561,49,33,0.598,—,104.0,100.9,2.45,2015,Toronto Raptors
562,40,42,0.488,9.0,101.4,101.2,-0.4,2015,Boston Celtics
563,38,44,0.463,11.0,98.0,100.9,-3.13,2015,Brooklyn Nets
564,18,64,0.22,31.0,92.0,101.0,-9.04,2015,Philadelphia 76ers
565,17,65,0.207,32.0,91.9,101.2,-9.5,2015,New York Knicks
566,53,29,0.646,—,103.1,98.7,4.08,2015,Cleveland Cavaliers
567,50,32,0.61,3.0,100.8,97.8,2.54,2015,Chicago Bulls
568,41,41,0.5,12.0,97.8,97.4,-0.09,2015,Milwaukee Bucks
569,38,44,0.463,15.0,97.3,97.0,-0.23,2015,Indiana Pacers
570,32,50,0.39,21.0,98.5,99.5,-1.39,2015,Detroit Pistons
571,60,22,0.732,—,102.5,97.1,4.75,2015,Atlanta Hawks
572,46,36,0.561,14.0,98.5,97.8,0.17,2015,Washington Wizards
573,37,45,0.451,23.0,94.7,97.3,-2.92,2015,Miami Heat
574,33,49,0.402,27.0,94.2,97.3,-3.44,2015,Charlotte Hornets
575,25,57,0.305,35.0,95.7,101.4,-5.87,2015,Orlando Magic
576,51,31,0.622,—,102.8,98.6,4.41,2015,Portland Trail Blazers
577,45,37,0.549,6.0,104.0,101.8,2.47,2015,Oklahoma City Thunder
578,38,44,0.463,13.0,95.1,94.9,0.71,2015,Utah Jazz
579,30,52,0.366,21.0,101.5,105.0,-3.07,2015,Denver Nuggets
580,16,66,0.195,35.0,97.8,106.5,-8.0,2015,Minnesota Timberwolves
581,67,15,0.817,—,110.0,99.9,10.01,2015,Golden State Warriors
582,56,26,0.683,11.0,106.7,100.1,6.8,2015,Los Angeles Clippers
583,39,43,0.476,28.0,102.4,103.3,-0.38,2015,Phoenix Suns
584,29,53,0.354,38.0,101.3,105.0,-3.07,2015,Sacramento Kings
585,21,61,0.256,46.0,98.5,105.3,-6.17,2015,Los Angeles Lakers
586,56,26,0.683,—,103.9,100.5,3.82,2015,Houston Rockets
587,55,27,0.671,1.0,98.3,95.1,3.62,2015,Memphis Grizzlies
588,55,27,0.671,1.0,103.2,97.0,6.34,2015,San Antonio Spurs
589,50,32,0.61,6.0,105.2,102.3,3.36,2015,Dallas Mavericks
590,45,37,0.549,11.0,99.4,98.6,1.13,2015,New Orleans Pelicans
591,56,26,0.683,—,102.7,98.2,4.08,2016,Toronto Raptors
592,48,34,0.585,8.0,105.7,102.5,2.84,2016,Boston Celtics
593,32,50,0.39,24.0,98.4,101.1,-2.74,2016,New York Knicks
594,21,61,0.256,35.0,98.6,106.0,-7.12,2016,Brooklyn Nets
595,10,72,0.122,46.0,97.4,107.6,-9.92,2016,Philadelphia 76ers
596,57,25,0.695,—,104.3,98.3,5.45,2016,Cleveland Cavaliers
597,45,37,0.549,12.0,102.2,100.5,1.62,2016,Indiana Pacers
598,44,38,0.537,13.0,102.0,101.4,0.43,2016,Detroit Pistons
599,42,40,0.512,15.0,101.6,103.1,-1.46,2016,Chicago Bulls
600,33,49,0.402,24.0,99.0,103.2,-3.98,2016,Milwaukee Bucks
601,48,34,0.585,—,100.0,98.4,1.5,2016,Miami Heat
602,48,34,0.585,—,102.8,99.2,3.49,2016,Atlanta Hawks
603,48,34,0.585,—,103.4,100.7,2.36,2016,Charlotte Hornets
604,41,41,0.5,7.0,104.1,104.6,-0.5,2016,Washington Wizards
605,35,47,0.427,13.0,102.1,103.7,-1.68,2016,Orlando Magic
606,55,27,0.671,—,110.2,102.9,7.09,2016,Oklahoma City Thunder
607,44,38,0.537,11.0,105.1,104.3,0.98,2016,Portland Trail Blazers
608,40,42,0.488,15.0,97.7,95.9,1.84,2016,Utah Jazz
609,33,49,0.402,22.0,101.9,105.0,-2.81,2016,Denver Nuggets
610,29,53,0.354,26.0,102.4,106.0,-3.38,2016,Minnesota Timberwolves
611,73,9,0.89,—,114.9,104.1,10.38,2016,Golden State Warriors
612,53,29,0.646,20.0,104.5,100.2,4.13,2016,Los Angeles Clippers
613,33,49,0.402,40.0,106.6,109.1,-2.32,2016,Sacramento Kings
614,23,59,0.28,50.0,100.9,107.5,-6.32,2016,Phoenix Suns
615,17,65,0.207,56.0,97.3,106.9,-8.92,2016,Los Angeles Lakers
616,67,15,0.817,—,103.5,92.9,10.28,2016,San Antonio Spurs
617,42,40,0.512,25.0,102.3,102.6,-0.02,2016,Dallas Mavericks
618,42,40,0.512,25.0,99.1,101.3,-2.14,2016,Memphis Grizzlies
619,41,41,0.5,26.0,106.5,106.4,0.34,2016,Houston Rockets
620,30,52,0.366,37.0,102.7,106.5,-3.56,2016,New Orleans Pelicans
621,53,29,0.646,—,108.0,105.4,2.25,2017,Boston Celtics
622,51,31,0.622,2.0,106.9,102.6,3.65,2017,Toronto Raptors
623,31,51,0.378,22.0,104.3,108.0,-3.87,2017,New York Knicks
624,28,54,0.341,25.0,102.4,108.1,-5.83,2017,Philadelphia 76ers
625,20,62,0.244,33.0,105.8,112.5,-6.74,2017,Brooklyn Nets
626,51,31,0.622,—,110.3,107.2,2.87,2017,Cleveland Cavaliers
627,42,40,0.512,9.0,103.6,103.8,-0.45,2017,Milwaukee Bucks
628,42,40,0.512,9.0,105.1,105.3,-0.64,2017,Indiana Pacers
629,41,41,0.5,10.0,102.9,102.4,0.03,2017,Chicago Bulls
630,37,45,0.451,14.0,101.3,102.5,-1.29,2017,Detroit Pistons
631,49,33,0.598,—,109.2,107.4,1.36,2017,Washington Wizards
632,43,39,0.524,6.0,103.2,104.0,-1.23,2017,Atlanta Hawks
633,41,41,0.5,8.0,103.2,102.1,0.77,2017,Miami Heat
634,36,46,0.439,13.0,104.9,104.7,-0.07,2017,Charlotte Hornets
635,29,53,0.354,20.0,101.1,107.6,-6.61,2017,Orlando Magic
636,51,31,0.622,—,100.7,96.8,4.0,2017,Utah Jazz
637,47,35,0.573,4.0,106.6,105.8,1.14,2017,Oklahoma City Thunder
638,41,41,0.5,10.0,107.9,108.5,-0.23,2017,Portland Trail Blazers
639,40,42,0.488,11.0,111.7,111.2,0.7,2017,Denver Nuggets
640,31,51,0.378,20.0,105.6,106.7,-0.64,2017,Minnesota Timberwolves
641,67,15,0.817,—,115.9,104.3,11.35,2017,Golden State Warriors
642,51,31,0.622,16.0,108.7,104.4,4.42,2017,Los Angeles Clippers
643,32,50,0.39,35.0,102.8,106.7,-3.29,2017,Sacramento Kings
644,26,56,0.317,41.0,104.6,111.5,-6.29,2017,Los Angeles Lakers
645,24,58,0.293,43.0,107.7,113.3,-5.14,2017,Phoenix Suns
646,61,21,0.744,—,105.3,98.1,7.13,2017,San Antonio Spurs
647,55,27,0.671,6.0,115.3,109.6,5.84,2017,Houston Rockets
648,43,39,0.524,18.0,100.5,100.0,0.96,2017,Memphis Grizzlies
649,34,48,0.415,27.0,104.3,106.4,-1.69,2017,New Orleans Pelicans
650,33,49,0.402,28.0,97.9,100.8,-2.53,2017,Dallas Mavericks
651,59,23,0.72,—,111.7,103.9,7.29,2018,Toronto Raptors
652,55,27,0.671,4.0,104.0,100.4,3.23,2018,Boston Celtics
653,52,30,0.634,7.0,109.8,105.3,4.3,2018,Philadelphia 76ers
654,29,53,0.354,30.0,104.5,108.0,-3.53,2018,New York Knicks
655,28,54,0.341,31.0,106.6,110.3,-3.67,2018,Brooklyn Nets
656,50,32,0.61,—,110.9,109.9,0.59,2018,Cleveland Cavaliers
657,48,34,0.585,2.0,105.6,104.2,1.18,2018,Indiana Pacers
658,44,38,0.537,6.0,106.5,106.8,-0.45,2018,Milwaukee Bucks
659,39,43,0.476,11.0,103.8,103.9,-0.26,2018,Detroit Pistons
660,27,55,0.329,23.0,102.9,110.0,-6.84,2018,Chicago Bulls
661,44,38,0.537,—,103.4,102.9,0.15,2018,Miami Heat
662,43,39,0.524,1.0,106.6,106.0,0.53,2018,Washington Wizards
663,36,46,0.439,8.0,108.2,108.0,0.07,2018,Charlotte Hornets
664,25,57,0.305,19.0,103.4,108.2,-4.92,2018,Orlando Magic
665,24,58,0.293,20.0,103.4,108.8,-5.3,2018,Atlanta Hawks
666,49,33,0.598,—,105.6,103.0,2.6,2018,Portland Trail Blazers
667,48,34,0.585,1.0,107.9,104.4,3.42,2018,Oklahoma City Thunder
668,48,34,0.585,1.0,104.1,99.8,4.47,2018,Utah Jazz
669,47,35,0.573,2.0,109.5,107.3,2.35,2018,Minnesota Timberwolves
670,46,36,0.561,3.0,110.0,108.5,1.57,2018,Denver Nuggets
671,58,24,0.707,—,113.5,107.5,5.79,2018,Golden State Warriors
672,42,40,0.512,16.0,109.0,109.0,0.15,2018,Los Angeles Clippers
673,35,47,0.427,23.0,108.1,109.6,-1.44,2018,Los Angeles Lakers
674,27,55,0.329,31.0,98.8,105.8,-6.6,2018,Sacramento Kings
675,21,61,0.256,37.0,103.9,113.3,-8.8,2018,Phoenix Suns
676,65,17,0.793,—,112.4,103.9,8.21,2018,Houston Rockets
677,48,34,0.585,17.0,111.7,110.4,1.48,2018,New Orleans Pelicans
678,47,35,0.573,18.0,102.7,99.8,2.89,2018,San Antonio Spurs
679,24,58,0.293,41.0,102.3,105.4,-2.7,2018,Dallas Mavericks
680,22,60,0.268,43.0,99.3,105.5,-5.81,2018,Memphis Grizzlies
681,58,24,0.707,—,114.4,108.4,5.49,2019,Toronto Raptors
682,51,31,0.622,7.0,115.2,112.5,2.25,2019,Philadelphia 76ers
683,49,33,0.598,9.0,112.4,108.0,3.9,2019,Boston Celtics
684,42,40,0.512,16.0,112.2,112.3,-0.4,2019,Brooklyn Nets
685,17,65,0.207,41.0,104.6,113.8,-8.93,2019,New York Knicks
686,60,22,0.732,—,118.1,109.3,8.04,2019,Milwaukee Bucks
687,48,34,0.585,12.0,108.0,104.7,2.76,2019,Indiana Pacers
688,41,41,0.5,19.0,107.0,107.3,-0.56,2019,Detroit Pistons
689,22,60,0.268,38.0,104.9,113.4,-8.32,2019,Chicago Bulls
690,19,63,0.232,41.0,104.5,114.1,-9.39,2019,Cleveland Cavaliers
691,42,40,0.512,—,107.3,106.6,0.28,2019,Orlando Magic
692,39,43,0.476,3.0,110.7,111.8,-1.32,2019,Charlotte Hornets
693,39,43,0.476,3.0,105.7,105.9,-0.45,2019,Miami Heat
694,32,50,0.39,10.0,114.0,116.9,-3.3,2019,Washington Wizards
695,29,53,0.354,13.0,113.3,119.4,-6.06,2019,Atlanta Hawks
696,54,28,0.659,—,110.7,106.7,4.19,2019,Denver Nuggets
697,53,29,0.646,1.0,114.7,110.5,4.43,2019,Portland Trail Blazers
698,50,32,0.61,4.0,111.7,106.5,5.28,2019,Utah Jazz
699,49,33,0.598,5.0,114.5,111.1,3.56,2019,Oklahoma City Thunder
700,36,46,0.439,18.0,112.5,114.0,-1.02,2019,Minnesota Timberwolves
701,57,25,0.695,—,117.7,111.2,6.42,2019,Golden State Warriors
702,48,34,0.585,9.0,115.1,114.3,1.09,2019,Los Angeles Clippers
703,39,43,0.476,18.0,114.2,115.3,-0.81,2019,Sacramento Kings
704,37,45,0.451,20.0,111.8,113.5,-1.33,2019,Los Angeles Lakers
705,19,63,0.232,38.0,107.5,116.8,-8.61,2019,Phoenix Suns
706,53,29,0.646,—,113.9,109.1,4.96,2019,Houston Rockets
707,48,34,0.585,5.0,111.7,110.0,1.8,2019,San Antonio Spurs
708,33,49,0.402,20.0,103.5,106.1,-2.08,2019,Memphis Grizzlies
709,33,49,0.402,20.0,115.4,116.8,-1.1,2019,New Orleans Pelicans
710,33,49,0.402,20.0,108.9,110.1,-0.87,2019,Dallas Mavericks
711,53,19,0.736,—,112.8,106.5,5.97,2020,Toronto Raptors
712,48,24,0.667,5.0,113.7,107.3,5.83,2020,Boston Celtics
713,43,30,0.589,10.5,110.7,108.4,2.25,2020,Philadelphia 76ers
714,35,37,0.486,18.0,111.8,112.3,-1.01,2020,Brooklyn Nets
715,21,45,0.318,29.0,105.8,112.3,-6.72,2020,New York Knicks
716,56,17,0.767,—,118.7,108.6,9.41,2020,Milwaukee Bucks
717,45,28,0.616,11.0,109.4,107.5,1.63,2020,Indiana Pacers
718,22,43,0.338,30.0,106.8,109.9,-4.0,2020,Chicago Bulls
