,W,L,W/L%,GB,PS/G,PA/G,SRS,year,Team
81,61,21,0.744,—,105.5,97.8,6.88,1998,Los Angeles Lakers
82,56,26,0.683,5.0,99.6,94.4,4.44,1998,Phoenix Suns
83,46,36,0.561,15.0,94.3,92.9,0.83,1998,Portland Trail Blazers
84,27,55,0.329,34.0,93.1,98.7,-5.83,1998,Sacramento Kings
85,19,63,0.232,42.0,88.3,97.4,-9.2,1998,Golden State Warriors
86,17,65,0.207,44.0,95.9,103.3,-7.53,1998,Los Angeles Clippers
87,33,17,0.66,—,89.0,84.0,5.11,1999,Miami Heat
88,33,17,0.66,—,89.5,86.9,3.11,1999,Orlando Magic
89,28,22,0.56,5.0,89.7,87.6,2.56,1999,Philadelphia 76ers
90,27,23,0.54,6.0,86.4,85.4,1.45,1999,New York Knicks
91,19,31,0.38,14.0,93.0,94.9,-1.75,1999,Boston Celtics
92,18,32,0.36,15.0,91.2,93.4,-1.75,1999,Washington Wizards
93,16,34,0.32,17.0,91.4,95.2,-3.2,1999,New Jersey Nets
94,33,17,0.66,—,94.7,90.9,3.86,1999,Indiana Pacers
95,31,19,0.62,2.0,86.3,83.4,2.82,1999,Atlanta Hawks
96,29,21,0.58,4.0,90.4,86.9,3.97,1999,Detroit Pistons
97,28,22,0.56,5.0,91.7,90.0,1.66,1999,Milwaukee Bucks
98,26,24,0.52,7.0,92.9,93.0,0.63,1999,Charlotte Hornets
99,23,27,0.46,10.0,91.1,92.8,-1.32,1999,Toronto Raptors
100,22,28,0.44,11.0,86.4,88.2,-0.94,1999,Cleveland Cavaliers
101,13,37,0.26,20.0,81.9,91.4,-8.58,1999,Chicago Bulls
102,37,13,0.74,—,92.8,84.7,7.12,1999,San Antonio Spurs
103,37,13,0.74,—,93.3,86.8,5.54,1999,Utah Jazz
104,31,19,0.62,6.0,94.2,91.9,1.39,1999,Houston Rockets
105,25,25,0.5,12.0,92.9,92.6,-0.17,1999,Minnesota Timberwolves
106,19,31,0.38,18.0,91.6,94.0,-2.5,1999,Dallas Mavericks
107,14,36,0.28,23.0,93.5,100.1,-6.67,1999,Denver Nuggets
108,8,42,0.16,29.0,88.9,97.5,-8.94,1999,Vancouver Grizzlies
109,35,15,0.7,—,94.8,88.5,5.67,1999,Portland Trail Blazers
110,31,19,0.62,4.0,99.0,96.0,2.68,1999,Los Angeles Lakers
111,27,23,0.54,8.0,95.6,93.3,2.15,1999,Phoenix Suns
112,27,23,0.54,8.0,100.2,100.6,-0.89,1999,Sacramento Kings
113,25,25,0.5,10.0,94.9,95.9,-1.43,1999,Seattle SuperSonics
114,21,29,0.42,14.0,88.3,90.8,-2.63,1999,Golden State Warriors
115,9,41,0.18,26.0,90.4,99.2,-8.94,1999,Los Angeles Clippers
116,52,30,0.634,—,94.4,91.3,2.75,2000,Miami Heat
117,50,32,0.61,2.0,92.1,90.7,1.3,2000,New York Knicks
118,49,33,0.598,3.0,94.8,93.4,1.02,2000,Philadelphia 76ers
119,41,41,0.5,11.0,100.1,99.4,0.43,2000,Orlando Magic
120,35,47,0.427,17.0,99.3,100.1,-1.0,2000,Boston Celtics
121,31,51,0.378,21.0,98.0,99.0,-1.18,2000,New Jersey Nets
122,29,53,0.354,23.0,96.6,99.9,-3.47,2000,Washington Wizards
123,56,26,0.683,—,101.3,96.7,4.15,2000,Indiana Pacers
124,49,33,0.598,7.0,98.4,95.8,2.33,2000,Charlotte Hornets
125,45,37,0.549,11.0,97.2,97.3,-0.46,2000,Toronto Raptors
126,42,40,0.512,14.0,103.5,102.0,1.13,2000,Detroit Pistons
127,42,40,0.512,14.0,101.2,101.0,-0.06,2000,Milwaukee Bucks
128,32,50,0.39,24.0,97.0,100.5,-3.64,2000,Cleveland Cavaliers
129,28,54,0.341,28.0,94.3,99.7,-5.41,2000,Atlanta Hawks
130,17,65,0.207,39.0,84.8,94.2,-9.23,2000,Chicago Bulls
131,55,27,0.671,—,96.5,92.0,4.52,2000,Utah Jazz
132,53,29,0.646,2.0,96.2,90.2,5.92,2000,San Antonio Spurs
133,50,32,0.61,5.0,98.5,96.0,2.67,2000,Minnesota Timberwolves
134,40,42,0.488,15.0,101.4,102.0,-0.29,2000,Dallas Mavericks
135,35,47,0.427,20.0,99.0,101.1,-1.76,2000,Denver Nuggets
136,34,48,0.415,21.0,99.5,100.3,-0.57,2000,Houston Rockets
137,22,60,0.268,33.0,93.9,99.5,-5.1,2000,Vancouver Grizzlies
138,67,15,0.817,—,100.8,92.3,8.41,2000,Los Angeles Lakers
139,59,23,0.72,8.0,97.5,91.0,6.36,2000,Portland Trail Blazers
140,53,29,0.646,14.0,98.9,93.7,5.24,2000,Phoenix Suns
141,45,37,0.549,22.0,99.1,98.1,1.17,2000,Seattle SuperSonics
142,44,38,0.537,23.0,105.0,102.0,3.04,2000,Sacramento Kings
143,19,63,0.232,48.0,95.5,103.8,-7.63,2000,Golden State Warriors
144,15,67,0.183,52.0,92.0,103.5,-10.73,2000,Los Angeles Clippers
145,56,26,0.683,—,94.7,90.4,3.64,2001,Philadelphia 76ers
146,50,32,0.61,6.0,88.9,86.6,1.73,2001,Miami Heat
147,48,34,0.585,8.0,88.7,86.1,1.98,2001,New York Knicks
148,43,39,0.524,13.0,97.5,96.5,0.39,2001,Orlando Magic
149,36,46,0.439,20.0,94.6,96.8,-2.4,2001,Boston Celtics
150,26,56,0.317,30.0,92.1,97.1,-5.3,2001,New Jersey Nets
151,19,63,0.232,37.0,93.2,99.9,-6.75,2001,Washington Wizards
152,52,30,0.634,—,100.7,96.9,3.14,2001,Milwaukee Bucks
153,47,35,0.573,5.0,97.6,95.4,1.69,2001,Toronto Raptors
154,46,36,0.561,6.0,91.9,89.8,1.45,2001,Charlotte Hornets
155,41,41,0.5,11.0,92.6,92.8,-0.77,2001,Indiana Pacers
156,32,50,0.39,20.0,95.6,97.3,-2.08,2001,Detroit Pistons
157,30,52,0.366,22.0,92.2,96.5,-4.48,2001,Cleveland Cavaliers
158,25,57,0.305,27.0,91.0,96.2,-5.55,2001,Atlanta Hawks
159,15,67,0.183,37.0,87.6,96.7,-9.09,2001,Chicago Bulls
160,58,24,0.707,—,96.2,88.4,7.92,2001,San Antonio Spurs
161,53,29,0.646,5.0,97.1,92.4,5.0,2001,Utah Jazz
162,53,29,0.646,5.0,100.5,96.2,4.61,2001,Dallas Mavericks
163,47,35,0.573,11.0,97.3,96.0,1.81,2001,Minnesota Timberwolves
164,45,37,0.549,13.0,97.2,94.9,2.71,2001,Houston Rockets
165,40,42,0.488,18.0,96.6,99.0,-1.83,2001,Denver Nuggets
166,23,59,0.28,35.0,91.7,97.5,-4.94,2001,Vancouver Grizzlies
167,56,26,0.683,—,100.6,97.2,3.74,2001,Los Angeles Lakers
168,55,27,0.671,1.0,101.7,95.9,6.07,2001,Sacramento Kings
169,51,31,0.622,5.0,94.0,91.8,2.63,2001,Phoenix Suns
170,50,32,0.61,6.0,95.4,91.2,4.52,2001,Portland Trail Blazers
171,44,38,0.537,12.0,97.3,97.3,0.55,2001,Seattle SuperSonics
172,31,51,0.378,25.0,92.5,95.3,-2.23,2001,Los Angeles Clippers
173,17,65,0.207,39.0,92.5,101.5,-8.11,2001,Golden State Warriors
174,52,30,0.634,—,96.2,92.0,3.67,2002,New Jersey Nets
175,49,33,0.598,3.0,96.4,94.1,1.75,2002,Boston Celtics
176,44,38,0.537,8.0,100.5,98.9,1.25,2002,Orlando Magic
177,43,39,0.524,9.0,91.0,89.4,1.27,2002,Philadelphia 76ers
178,37,45,0.451,15.0,92.8,94.2,-1.58,2002,Washington Wizards
179,36,46,0.439,16.0,87.2,88.7,-1.84,2002,Miami Heat
180,30,52,0.366,22.0,91.6,95.6,-4.15,2002,New York Knicks
181,50,32,0.61,—,94.3,92.2,1.69,2002,Detroit Pistons
182,44,38,0.537,6.0,93.9,92.9,0.57,2002,Charlotte Hornets
183,42,40,0.512,8.0,91.4,91.8,-0.71,2002,Toronto Raptors
184,42,40,0.512,8.0,96.8,96.5,-0.07,2002,Indiana Pacers
185,41,41,0.5,9.0,97.5,97.7,-0.62,2002,Milwaukee Bucks
186,33,49,0.402,17.0,94.0,98.3,-4.41,2002,Atlanta Hawks
187,29,53,0.354,21.0,95.3,98.6,-3.52,2002,Cleveland Cavaliers
188,21,61,0.256,29.0,89.5,98.0,-8.52,2002,Chicago Bulls
189,58,24,0.707,—,96.7,90.5,6.28,2002,San Antonio Spurs
190,57,25,0.695,1.0,105.2,101.0,4.41,2002,Dallas Mavericks
191,50,32,0.61,8.0,99.3,96.0,3.58,2002,Minnesota Timberwolves
192,44,38,0.537,14.0,96.0,95.1,1.21,2002,Utah Jazz
193,28,54,0.341,30.0,92.3,97.2,-4.31,2002,Houston Rockets
194,27,55,0.329,31.0,92.2,98.0,-5.19,2002,Denver Nuggets
195,23,59,0.28,35.0,89.9,97.3,-6.74,2002,Memphis Grizzlies
196,61,21,0.744,—,104.6,97.0,7.61,2002,Sacramento Kings
197,58,24,0.707,3.0,101.3,94.1,7.15,2002,Los Angeles Lakers
198,49,33,0.598,12.0,96.6,93.7,3.21,2002,Portland Trail Blazers
199,45,37,0.549,16.0,97.7,94.7,3.24,2002,Seattle SuperSonics
200,39,43,0.476,22.0,95.7,96.1,-0.09,2002,Los Angeles Clippers
201,36,46,0.439,25.0,95.1,95.8,-0.3,2002,Phoenix Suns
202,21,61,0.256,40.0,97.7,103.1,-4.8,2002,Golden State Warriors
203,49,33,0.598,—,95.4,90.1,4.42,2003,New Jersey Nets
204,48,34,0.585,1.0,96.8,94.5,1.76,2003,Philadelphia 76ers
205,44,38,0.537,5.0,92.7,93.1,-0.75,2003,Boston Celtics
206,42,40,0.512,7.0,98.5,98.4,-0.39,2003,Orlando Magic
207,37,45,0.451,12.0,91.5,92.5,-1.47,2003,Washington Wizards
